Date,Team (Home),Time,Team (Away),Stage,Group,Stadium,City
Thursday 11 June 2026,Mexico,3:00 PM,South Africa,First Stage,Group A,Mexico City Stadium,Mexico City
Thursday 11 June 2026,Korea Republic,10:00 PM,Czechia,First Stage,Group A,Guadalajara Stadium,Guadalajara
,,,,,,,
Friday 12 June 2026,Canada,3:00 PM,Bosnia and Herzegovina,First Stage,Group B,Toronto Stadium,Toronto
Friday 12 June 2026,USA,9:00 PM,Paraguay,First Stage,Group D,Los Angeles Stadium,Los Angeles
,,,,,,,
Saturday 13 June 2026,Qatar,3:00 PM,Switzerland,First Stage,Group B,San Francisco Bay Area Stadium,San Francisco Bay Area
Saturday 13 June 2026,Brazil,6:00 PM,Morocco,First Stage,Group C,New York/New Jersey Stadium,New Jersey
Saturday 13 June 2026,Haiti,9:00 PM,Scotland,First Stage,Group C,Boston Stadium,Boston
,,,,,,,
Sunday 14 June 2026,Australia,12:00 AM,Turkiye,First Stage,Group D,BC Place Vancouver,Vancouver
Sunday 14 June 2026,Germany,1:00 PM,Curasao,First Stage,Group E,Houston Stadium,Houston
Sunday 14 June 2026,Netherlands,4:00 PM,Japan,First Stage,Group F,Dallas Stadium,Dallas
Sunday 14 June 2026,Cote d'Ivoire,7:00 PM,Ecuador,First Stage,Group E,Philadelphia Stadium,Philadelphia
Sunday 14 June 2026,Sweden,10:00 PM,Tunisia,First Stage,Group F,Monterrey Stadium,Monterrey
,,,,,,,
Monday 15 June 2026,Spain,12:00 PM,Cabo Verde,First Stage,Group H,Atlanta Stadium,Atlanta
Monday 15 June 2026,Belgium,3:00 PM,Egypt,First Stage,Group G,Seattle Stadium,Seattle
Monday 15 June 2026,Saudi Arabia,6:00 PM,Uruguay,First Stage,Group H,Miami Stadium,Miami
Monday 15 June 2026,IR Iran,9:00 PM,New Zealand,First Stage,Group G,Los Angeles Stadium,Los Angeles
,,,,,,,
Tuesday 16 June 2026,France,3:00 PM,Senegal,First Stage,Group I,New York/New Jersey Stadium,New Jersey
Tuesday 16 June 2026,Iraq,6:00 PM,Norway,First Stage,Group I,Boston Stadium,Boston
Tuesday 16 June 2026,Argentina,9:00 PM,Algeria,First Stage,Group J,Kansas City Stadium,Kansas City
,,,,,,,
Wednesday 17 June 2026,Austria,12:00 AM,Jordan,First Stage,Group J,San Francisco Bay Area Stadium,San Francisco Bay Area
Wednesday 17 June 2026,Portugal,1:00 PM,Congo DR,First Stage,Group K,Houston Stadium,Houston
Wednesday 17 June 2026,England,4:00 PM,Croatia,First Stage,Group L,Dallas Stadium,Dallas
Wednesday 17 June 2026,Ghana,7:00 PM,Panama,First Stage,Group L,Toronto Stadium,Toronto
Wednesday 17 June 2026,Uzbekistan,10:00 PM,Colombia,First Stage,Group K,Mexico City Stadium,Mexico City
,,,,,,,
Thursday 18 June 2026,Czechia,12:00 PM,South Africa,First Stage,Group A,Atlanta Stadium,Atlanta
